name;real_name;Creador;creation_date;superpowers;intelligence_score;strength_score;speed_score;durability_score;Creador;type_race;height ;weight ;has_telepathy;has_magic;has_immortality
Annihilus;Annihilus;Lego;15/7/13;Agility, Durability, Flight, Reflexes, Stamina, Super Speed, Super Strength;43;75;23;13;Bad;Mutant;28.25;280.97;0.0;0.0;0.0
Ant-Man II;Scott Lang;Shueisha;6/7/99;;90;6;42;66;Neutral;Alien;210.05;211.98;0.0;0.0;0.0
Ant-Man (MCU);Hank Pym;DC_Comics;11/2/11;Agility, Animal Control, Density Control, Durability, Intelligence, Intuitive aptitude, Power Suit, Size Changing, Stamina, Stealth, Super Strength;88;84;9;37;Good;MetaHuman;110.21;955.77;0.0;0.0;0.0
Ant-Man;Hank Pym;Other;25/11/37;;8;42;26;100;Bad;Human;242.87;27.09;1.0;0.0;0.0
Anti-Monitor;Mobius;DC_Comics;6/11/44;Accelerated Healing, Darkforce Manipulation, Dimensional Awareness, Durability, Energy Absorption, Energy Beams, Energy Blasts, Energy Constructs, Flight, Immortality, Intelligence, Invulnerability, Matter Absorption, Molecular Manipulation, Power Augmentation, Power Suit, Reality Warping, Size Changing, Super Strength, Telepathy, Teleportation, Time Manipulation, Time Travel;23;15;100;25;Neutral;MetaHuman;282.86;364.87;0.0;0.0;0.0
Anti-Spawn;The Redeemer;Dark_Horse_Comics;29/8/65;Agility, Astral Projection, Durability, Element Control, Energy Blasts, Energy Manipulation, Fire Control, Invulnerability, Magic, Mind Control, Possession, Reflexes, Stamina, Super Speed, Super Strength, Teleportation;65;94;74;49;Good;Alien;127.49;535.84;0.0;0.0;1.0
Anti-Venom;Eddie Brock;Other;18/8/64;Accelerated Healing, Camouflage, Danger Sense, Durability, Elasticity, Enhanced Senses, Reflexes, Shapeshifting, Stamina, Super Strength, Symbiote Costume, Toxin and Disease Resistance, Wallcrawling, Web Creation;71;99;69;90;Neutral;Human;48.6;418.69;0.0;0.0;0.0
Apocalypse (FOX);En Sabah Nur;Shueisha;27/11/84;;6;58;14;48;Bad;Human;67.51;208.71;0.0;1.0;0.0
Aquababy;Arthur Curry, Jr.;DC_Comics;23/4/57;Super Strength, Underwater breathing, Water Control;15;33;57;32;Neutral;God_Eternal;209.23;48.44;1.0;0.0;0.0
Aquagirl I;Tula;Marvel_Comics;20/10/56;Durability, Invulnerability, Self-Sustenance, Super Speed, Super Strength, Telepathy;83;91;80;28;Neutral;Mutant;97.89;868.93;0.0;0.0;0.0
Aqualad II;Jackson Hyde;Other;22/1/60;Adaptation, Durability, Electrokinesis, Element Control, Enhanced Hearing, Enhanced Senses, Enhanced Sight, Invulnerability, Reflexes, Stamina, Super Speed, Super Strength, Underwater breathing, Water Control;35;57;28;36;Good;Alien;151.52;398.81;0.0;0.0;0.0
Aqualad;Garth;Dark_Horse_Comics;26/2/36;;75;29;49;45;Bad;God_Eternal;136.97;194.48;0.0;1.0;1.0
Aquaman (Injustice);Arthur Curry;Dark_Horse_Comics;13/4/94;Accelerated Healing, Agility, Animal Control, Cold Resistance, Durability, Electrokinesis, Element Control, Enhanced Senses, Heat Resistance, Intelligence, Longevity, Peak Human Condition, Portal Creation, Reflexes, Self-Sustenance, Stamina, Stealth, Sub-Mariner, Summoning, Super Speed, Super Strength, Telepathy, Vision - Night, Water Control, Weapon-based Powers, Weapons Master;7;20;94;49;Good;MetaHuman;238.39;284.22;0.0;0.0;0.0
Aquaman;Orin;DC_Comics;13/11/55;;93;13;13;11;Good;Alien;94.64;506.21;0.0;0.0;0.0
Aracnido Jr.;;Other;13/10/73;Agility, Wallcrawling, Web Creation;99;35;22;93;Good;Alien;26.75;682.61;1.0;0.0;0.0
Aragorn;Aragorn II Elessar;Dark_Horse_Comics;8/3/64;Accelerated Healing, Agility, Empathy, Intelligence, Longevity, Marksmanship, Omnilingualism, Stamina, Stealth, Weapon-based Powers, Weapons Master;48;87;10;43;Good;MetaHuman;112.44;820.83;0.0;1.0;0.0
Archangel (FOX);Warren Kenneth Worthington III;Dark_Horse_Comics;24/11/04;Flight, Gliding;47;29;11;59;Neutral;Human;116.6;611.88;0.0;0.0;0.0
Archangel;Warren Kenneth Worthington III ;Shueisha;24/8/90;;87;41;10;72;Good;Mutant;159.42;328.17;0.0;0.0;0.0
Arclight;Philippa Sontag;Lego;28/9/49;Durability, Seismic Power, Stamina, Super Strength;33;6;35;47;Neutral;Mutant;234.75;479.26;0.0;0.0;0.0
Arcturus;Arcturus;Shueisha;24/8/86;Accelerated Healing, Agility, Animal Attributes, Animal Control, Animal Oriented Powers, Camouflage, Cold Resistance, Durability, Endurance, Energy Resistance, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Enhanced Sight, Enhanced Smell, Enhanced Touch, Fire Resistance, Heat Resistance, Intelligence, Invulnerability, Longevity, Marksmanship, Natural Armor, Natural Weapons, Peak Human Condition, Reflexes, Regeneration, Self-Sustenance, Stamina, Stealth, Summoning, Super Speed, Super Strength, Toxin and Disease Resistance, Vision - Infrared, Vision - Microscopic, Vision - Night, Vision - Telescopic, Vision - Thermal, Weapon-based Powers, Weapons Master;65;48;89;76;Bad;Mutant;126.38;512.85;1.0;0.0;0.0
Ardina;Ardina;DC_Comics;20/3/74;Accelerated Healing, Agility, Cold Resistance, Durability, Empathy, Energy Blasts, Energy Manipulation, Enhanced Senses, Flight, Heat Resistance, Invulnerability, Molecular Manipulation, Power Cosmic, Reflexes, Self-Sustenance, Super Speed, Super Strength;25;13;62;63;Neutral;Alien;72.47;617.32;0.0;0.0;0.0
Ariel;Ariel;Lego;4/12/89;Telepathy, Teleportation;43;66;62;78;Neutral;MetaHuman;237.65;608.17;0.0;0.0;1.0
Arizona Annie;;Marvel_Comics;26/4/58;Marksmanship, Weapon-based Powers, Weapons Master;70;56;41;10;Bad;Human;29.53;198.67;0.0;0.0;0.0
Arkade;;Lego;29/1/77;Absorption, Agility, Camouflage, Dexterity, Durability, Endurance, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Enhanced Sight, Enhanced Smell, Enhanced Touch, Heat Resistance, Insanity, Intelligence, Longevity, Marksmanship, Peak Human Condition, Power Suit, Reflexes, Stamina, Stealth, Summoning, Vision - Night, Weapon-based Powers, Weapons Master;70;30;100;13;Neutral;Other;290.98;978.79;0.0;0.0;0.0
Arkillo;Arkillo;Other;2/11/44;Agility, Durability, Energy Beams, Energy Constructs, Flight, Invulnerability, Lantern Power Ring, Super Speed, Super Strength, Toxin and Disease Resistance;65;20;69;64;Bad;Human;141.26;926.3;0.0;0.0;0.0
Armor;Hisako Ichiki;Dark_Horse_Comics;15/9/73;Energy Armor, Psionic Powers, Super Strength;80;10;42;48;Neutral;Other;65.86;186.4;0.0;0.0;0.0
Arnim Zola (MCU);Arnim Zola;Other;4/5/63;Intelligence, Intuitive aptitude;37;11;46;74;Bad;God_Eternal;100.37;805.61;0.0;0.0;0.0
Arno Victor Dorian;Arno Dorian;Other;23/8/66;Agility, Danger Sense, Durability, Endurance, Enhanced Hearing, Enhanced Senses, Enhanced Sight, Enhanced Smell, Enhanced Touch, Hypnokinesis, Intelligence, Intuitive aptitude, Jump, Marksmanship, Mind Control Resistance, Molecular Combustion, Peak Human Condition, Reflexes, Stamina, Stealth, Vision - Cryo, Weapon-based Powers, Weapons Master;23;42;90;42;Bad;Other;160.52;552.22;0.0;0.0;0.0
Arnold Flass;Arnold Flass;Dark_Horse_Comics;21/6/93;Law Manipulation, Master Martial Artist, Weapon-based Powers, Weapons Master;33;74;65;91;Bad;Alien;209.26;885.03;0.0;0.0;0.0
Arsenal (CW);Roy Harper;DC_Comics;28/7/94;Agility, Marksmanship, Peak Human Condition, Reflexes, Weapon-based Powers, Weapons Master;55;10;10;16;Good;Human;72.33;632.42;0.0;0.0;0.0
Arsenal;Roy William Harper, Jr.;DC_Comics;31/1/87;Agility, Marksmanship, Weapon-based Powers, Weapons Master;49;66;46;71;Bad;God_Eternal;291.83;837.82;0.0;0.0;0.0
Artemis (CW);Evelyn Sharp;DC_Comics;11/10/95;;12;6;48;14;Good;Other;23.85;217.98;0.0;1.0;0.0
Arthur Dayne;;Lego;25/7/09;Dexterity, Reflexes, Stamina, Weapons Master;36;58;23;68;Neutral;Human;22.86;251.8;1.0;0.0;0.0
Ash;Ash;Lego;8/4/42;Agility, Cold Resistance, Dexterity, Durability, Element Control, Endurance, Fire Resistance, Heat Resistance, Intangibility, Intelligence, Invisibility, Marksmanship, Peak Human Condition, Phasing, Reflexes, Shapeshifting, Smoke Manipulation, Stamina, Stealth, Teleportation, Weapons Master;84;90;87;16;Good;Alien;275.0;685.56;0.0;0.0;0.0
Aspheera;Aspheera;Marvel_Comics;26/10/45;Ability Shift, Absorption, Accelerated Healing, Adaptation, Agility, Animal Attributes, Animal Control, Animal Oriented Powers, Banish, Cold Resistance, Darkforce Manipulation, Dexterity, Dream Manipulation, Dream Manipulation, Durability, Element Control, Endurance, Energy Absorption, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Enhanced Sight, Enhanced Smell, Existence Erasure, Fire Control, Fire Resistance, Flight, Force Fields, Heat Generation, Heat Resistance, Illusions, Immortality, Insanity, Intelligence, Invisibility, Invulnerability, Longevity, Magic, Magic Resistance, Marksmanship, Master Tactician, Matter Absorption, Melting, Memory Manipulation, Natural Armor, Natural Weapons, Peak Human Condition, Perfect Recollection, Photographic Reflexes, Power Absorption, Power Augmentation, Power Nullifier, Reflexes, Self-Sustenance, Smoke Manipulation, Spinjitzu, Stamina, Stealth, Summoning, Super Speed, Super Strength, Teleportation, Weapon-based Powers, Weapons Master;66;89;19;67;Good;MetaHuman;93.33;49.19;0.0;0.0;0.0
Asura;Asura;Marvel_Comics;12/1/10;;6;51;71;69;Good;Other;59.51;970.8;0.0;1.0;1.0
Yasha (Brother-in-law);;Other;12/4/96;;55;50;50;50;Bad;God_Eternal;65.82;703.8;0.0;0.0;0.0
Atom (CW);Ray Palmer;Shueisha;6/6/55;;73;42;21;79;Bad;Alien;202.17;326.73;0.0;0.0;0.0
Atom Girl;Salu Digby;Lego;12/6/18;Size Changing;45;98;55;78;Neutral;Human;152.79;183.86;1.0;0.0;0.0
Atom II;Ray Palmer;DC_Comics;24/5/79;;13;84;90;76;Bad;God_Eternal;37.29;934.34;0.0;1.0;0.0
Atom III;Adam Cray;Shueisha;24/5/56;Size Changing;61;92;38;8;Neutral;MetaHuman;133.2;184.73;0.0;0.0;0.0
Atom IV;Ryan Choi;Marvel_Comics;17/6/46;;78;47;13;6;Good;Human;118.51;709.13;0.0;0.0;0.0
Atom Smasher (CW);Al Rothstein;DC_Comics;28/2/81;;64;93;37;33;Neutral;Mutant;185.11;901.44;0.0;0.0;0.0
Atomic Skull;Joseph Martin;Dark_Horse_Comics;7/1/01;Agility, Energy Absorption, Energy Armor, Energy Beams, Energy Blasts, Energy Constructs, Flight, Heat Generation, Invulnerability, Power Suit, Radiation Absorption, Radiation Control, Stamina, Stealth, Super Speed, Super Strength;69;82;98;73;Good;God_Eternal;147.83;394.13;1.0;0.0;0.0
Atomica;Rhonda Pineda;DC_Comics;16/6/36;Agility, Intelligence, Size Changing, Stealth;35;76;6;98;Neutral;MetaHuman;167.76;899.43;0.0;0.0;0.0
Attuma;Attuma;Marvel_Comics;13/5/88;Adaptation, Agility, Cold Resistance, Durability, Endurance, Energy Resistance, Enhanced Hearing, Enhanced Memory, Enhanced Senses, Enhanced Sight, Enhanced Smell, Enhanced Touch, Fire Resistance, Heat Resistance, Invulnerability, Reflexes, Stamina, Sub-Mariner, Super Speed, Super Strength, Toxin and Disease Resistance, Underwater breathing;20;65;13;68;Neutral;Alien;167.84;702.91;0.0;0.0;1.0
Aurora;Jeanne-Marie Beaubier;Marvel_Comics;17/12/56;Accelerated Healing, Durability, Energy Blasts, Flight, Illumination, Light Control, Molecular Combustion, Molecular Manipulation, Reflexes, Super Speed;55;63;39;22;Bad;MetaHuman;236.51;910.83;0.0;0.0;0.0
Avatar Korra;Korra;Other;18/4/49;Accelerated Healing, Agility, Density Control, Element Control, Energy Manipulation, Fire Control, Heat Generation, Stamina, Super Breath, Super Strength, Water Control, Weather Control, Wind Control;71;33;69;54;Good;Other;50.64;378.33;0.0;0.0;0.0
Azrael (Gotham);Theo Galavan;Other;28/12/04;Accelerated Healing, Agility, Durability, Endurance, Intelligence, Intuitive aptitude, Marksmanship, Peak Human Condition, Reflexes, Stamina, Stealth, Super Speed, Super Strength, Weapon-based Powers, Weapons Master;13;50;44;100;Bad;Mutant;176.32;130.81;0.0;1.0;0.0
Aztar;Aztar;Other;22/7/99;;88;25;18;94;Neutral;God_Eternal;90.29;484.07;1.0;0.0;0.0
Balder;Balder Odinson;Dark_Horse_Comics;25/4/19;Accelerated Healing, Agility, Cold Resistance, Dexterity, Durability, Endurance, Enhanced Senses, Invulnerability, Longevity, Reflexes, Regeneration, Stamina, Super Speed, Super Strength, Toxin and Disease Resistance, Weapons Master;99;70;54;19;Neutral;Human;259.96;941.36;0.0;0.0;0.0
